"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\flutter-full-uber-clone\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 16, 6, 59
"d:\flutter_projects\main\flutter-full-uber-clone\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\flutter_projects\main\flutter-full-uber-clone\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"d:\flutter_projects\main\flutter-full-uber-clone\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\flutter_projects\main\flutter-full-uber-clone\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
